Town_County,Town,Town_Type,County,Year,Total_Rev,Total_Expenses,All_Tax_Rev,Real_Estat,Fed_Money,State_Money,MtoM,Population,Per_C_Tax,Per_C_Rev,Per_C_Ex
laureldale boro berks,laureldale boro,Borough,berks,2017,3721220.0,3210789.0,1320101.0,825566.0,0.0,307358.0,0.0,3911,337.54,951.48,820.96
leesport boro berks,leesport boro,Borough,berks,2010,1546766.0,1488132.0,734111.0,492299.0,0.0,78547.0,31195.0,1918,382.75,806.45,775.88
leesport boro berks,leesport boro,Borough,berks,2011,1632445.0,1594404.0,737200.0,471292.0,0.0,104416.0,0.0,1918,384.36,851.12,831.28
leesport boro berks,leesport boro,Borough,berks,2012,1598741.0,1641533.0,716000.0,477715.0,0.0,84707.0,0.0,1918,373.31,833.55,855.86
leesport boro berks,leesport boro,Borough,berks,2013,1795809.0,1706587.0,797569.0,490162.0,0.0,70024.0,19694.0,1918,415.83,936.29,889.77
leesport boro berks,leesport boro,Borough,berks,2014,1884810.0,1851297.0,788919.0,488756.0,0.0,67681.0,19634.0,1918,411.32,982.7,965.22
leesport boro berks,leesport boro,Borough,berks,2015,1721438.0,1788035.0,790751.0,516613.0,0.0,74588.0,27524.0,1918,412.28,897.52,932.24
leesport boro berks,leesport boro,Borough,berks,2016,1907229.0,1919295.0,810851.0,507002.0,0.0,82216.0,20473.0,1918,422.76,994.38,1000.68
leesport boro berks,leesport boro,Borough,berks,2017,1844876.0,1877848.0,814251.0,505259.0,0.0,80902.0,0.0,1918,424.53,961.87,979.07
longswamp twp berks,longswamp twp,Second Class Township,berks,2010,1962554.0,1965491.0,1222642.0,547548.0,0.0,309068.0,0.0,5679,215.29,345.58,346.1
longswamp twp berks,longswamp twp,Second Class Township,berks,2011,1740789.0,1536459.0,1234515.0,559790.0,0.0,323299.0,0.0,5679,217.38,306.53,270.55
longswamp twp berks,longswamp twp,Second Class Township,berks,2012,1773301.0,1412971.0,1324550.0,677198.0,0.0,266334.0,0.0,5679,233.24,312.26,248.81
longswamp twp berks,longswamp twp,Second Class Township,berks,2013,2077966.0,1689488.0,1392816.0,685643.0,0.0,289180.0,0.0,5679,245.26,365.9,297.5
longswamp twp berks,longswamp twp,Second Class Township,berks,2014,1938855.0,1705339.0,1472531.0,679753.0,0.0,305230.0,0.0,5679,259.29,341.41,300.29
longswamp twp berks,longswamp twp,Second Class Township,berks,2015,1814469.0,1920207.0,1357100.0,681958.0,0.0,294471.0,0.0,5679,238.97,319.51,338.12
longswamp twp berks,longswamp twp,Second Class Township,berks,2016,2152110.0,2071369.0,1429802.0,679099.0,0.0,469231.0,0.0,5679,251.77,378.96,364.74
longswamp twp berks,longswamp twp,Second Class Township,berks,2017,2136311.0,1738326.0,1547189.0,739908.0,0.0,378767.0,0.0,5679,272.44,376.18,306.1
lower alsace twp berks,lower alsace twp,Second Class Township,berks,2010,2367730.0,2824787.0,1606035.0,1083470.0,0.0,340055.0,15000.0,4475,358.89,529.1,631.24
lower alsace twp berks,lower alsace twp,Second Class Township,berks,2011,3400370.0,3121770.0,1669818.0,1106826.0,0.0,283867.0,71000.0,4475,373.14,759.86,697.6
lower alsace twp berks,lower alsace twp,Second Class Township,berks,2012,3861597.0,4151308.0,1585369.0,1111597.0,0.0,213432.0,1000.0,4475,354.27,862.93,927.67
lower alsace twp berks,lower alsace twp,Second Class Township,berks,2013,2033927.0,2017820.0,1615301.0,1099521.0,0.0,173999.0,50997.0,4475,360.96,454.51,450.91
lower alsace twp berks,lower alsace twp,Second Class Township,berks,2014,2882455.0,2557743.0,1771946.0,1189102.0,12500.0,229601.0,11450.0,4475,395.97,644.12,571.56
lower alsace twp berks,lower alsace twp,Second Class Township,berks,2015,2216726.0,2844085.0,1741793.0,1185791.0,0.0,236138.0,0.0,4475,389.23,495.36,635.55
lower alsace twp berks,lower alsace twp,Second Class Township,berks,2016,2501755.0,2532176.0,1934769.0,1305411.0,17799.0,273799.0,0.0,4475,432.35,559.05,565.85
lower alsace twp berks,lower alsace twp,Second Class Township,berks,2017,3251501.0,3603655.0,2080649.0,1416143.0,0.0,785322.0,153259.0,4475,464.95,726.59,805.29
maidencreek twp berks,maidencreek twp,Second Class Township,berks,2010,2422790.0,2638603.0,1693522.0,526250.0,0.0,322686.0,0.0,9126,185.57,265.48,289.13
maidencreek twp berks,maidencreek twp,Second Class Township,berks,2011,2601215.0,2486882.0,1882678.0,527743.0,0.0,421481.0,0.0,9126,206.3,285.03,272.51
maidencreek twp berks,maidencreek twp,Second Class Township,berks,2012,2582968.0,2719733.0,1836329.0,527714.0,0.0,359986.0,40144.0,9126,201.22,283.03,298.02
maidencreek twp berks,maidencreek twp,Second Class Township,berks,2013,2921999.0,2735465.0,2120525.0,706440.0,0.0,318828.0,61769.0,9126,232.36,320.18,299.74
maidencreek twp berks,maidencreek twp,Second Class Township,berks,2014,3097980.0,2994832.0,2268337.0,711637.0,0.0,378625.0,28933.0,9126,248.56,339.47,328.16
maidencreek twp berks,maidencreek twp,Second Class Township,berks,2015,3106447.0,3095028.0,2288346.0,832270.0,0.0,427020.0,0.0,9126,250.75,340.4,339.14
maidencreek twp berks,maidencreek twp,Second Class Township,berks,2016,3171663.0,3128684.0,2488703.0,833957.0,0.0,448070.0,0.0,9126,272.7,347.54,342.83
maidencreek twp berks,maidencreek twp,Second Class Township,berks,2017,3287951.0,3113335.0,2615635.0,839051.0,0.0,379683.0,0.0,9126,286.61,360.28,341.15
mohnton boro berks,mohnton boro,Borough,berks,2010,1976045.0,1869184.0,867390.0,450733.0,3709.0,157806.0,0.0,3043,285.04,649.37,614.26
mohnton boro berks,mohnton boro,Borough,berks,2011,1951147.0,1947231.0,920519.0,477758.0,3943.0,164950.0,0.0,3043,302.5,641.19,639.91
mohnton boro berks,mohnton boro,Borough,berks,2012,1854344.0,1840049.0,872496.0,471875.0,0.0,139023.0,0.0,3043,286.72,609.38,604.68
mohnton boro berks,mohnton boro,Borough,berks,2013,1851256.0,1699342.0,912583.0,471107.0,0.0,127991.0,0.0,3043,299.9,608.37,558.44
mohnton boro berks,mohnton boro,Borough,berks,2014,1928373.0,1914971.0,1011148.0,541810.0,0.0,138928.0,0.0,3043,332.29,633.71,629.3
mohnton boro berks,mohnton boro,Borough,berks,2015,1960584.0,1929656.0,981484.0,537112.0,0.0,142202.0,0.0,3043,322.54,644.29,634.13
mohnton boro berks,mohnton boro,Borough,berks,2016,2151961.0,1993310.0,1041489.0,557567.0,4330.0,230491.0,0.0,3043,342.26,707.18,655.05
mohnton boro berks,mohnton boro,Borough,berks,2017,2150199.0,1971582.0,1129158.0,631283.0,0.0,165568.0,0.0,3043,371.07,706.6,647.91
oley twp berks,oley twp,Second Class Township,berks,2010,2073074.0,1372757.0,1051966.0,485901.0,0.0,242460.0,0.0,3620,290.6,572.67,379.21
oley twp berks,oley twp,Second Class Township,berks,2011,1531190.0,1679858.0,1086000.0,495530.0,0.0,273927.0,10000.0,3620,300.0,422.98,464.05
oley twp berks,oley twp,Second Class Township,berks,2012,1830688.0,1412893.0,1060271.0,508525.0,30000.0,247385.0,0.0,3620,292.89,505.71,390.3
oley twp berks,oley twp,Second Class Township,berks,2013,1563223.0,1333371.0,1176518.0,572286.0,0.0,234015.0,0.0,3620,325.0,431.83,368.33
oley twp berks,oley twp,Second Class Township,berks,2014,1622884.0,1456276.0,1224487.0,573915.0,0.0,246840.0,0.0,3620,338.26,448.31,402.29
oley twp berks,oley twp,Second Class Township,berks,2015,1651382.0,1721596.0,1202505.0,578495.0,0.0,263899.0,0.0,3620,332.18,456.18,475.58
oley twp berks,oley twp,Second Class Township,berks,2016,1745891.0,1966912.0,1258047.0,597808.0,19454.0,298709.0,0.0,3620,347.53,482.29,543.35
